AC_Adapter,Backlit,Battery,Brand,CPU,CPU_Speed,CPU_Type,Card_Reader,DimensionWxDxH,GPU,GPU_Spec,HDD,HDMI,LCD_Features,Memory,Model,Operating_System,Optical_Drive,Price_Current,Price_Previous,Refresh_Rate,Resolution,SSD,Saving,Screen,Screen_Size,Series,Storage,Storage_Spec,Style,Touchscreen,Type,USB,Usage,Video_Port,WLAN,Webcam,Weight,Wide_Screen_Support,bluetooth
230-watt AC adapter,Backlit,Li-Polymer 62 Wh,Aorus,Intel Core i7-8750H 2.20 GHz,8750H (2.20 GHz),Intel Core i7 8th Gen,Mini SD Card Reader,,GeForce RTX 2070,8 GB GDDR6,1 TB,1 x HDMI 2.0,144 Hz IPS Anti-Glare,16 GB DDR4,15-X9-RT4AD,Windows 10 Home 64-bit,,1499.0,1999.0,144 Hz,1920 x 1080,512 GB,,"15.6"" 144 Hz IPS",,,512 GB M.2 NVMe PCIe SSD + 1 TB HDD,512 GB M.2 NVMe PCIe SSD + 1 TB HDD,Thin and Light,No,Gaming & Entertainment,3 x USB 3.1 Gen 1 Type-A,Consumer,1 x Mini DisplayPort,,HD Camera,5.29 lbs.,Yes,
65W USB-C,,24 Wh + 24 Wh,Lenovo,Intel Core i5-8250U 1.60 GHz,8250U (1.60 GHz),Intel Core i5 8th Gen,"4-in-1 reader (MMC, SD, SDHC, SDXC)",,Intel UHD Graphics 620,Shared memory,500 GB,1 x HDMI,,4 GB DDR4,T480 (20L5000WUS),Windows 10 Pro 64-Bit,,680.36,680.36,,1366 x 768,No,,"14""",,ThinkPad,500 GB,,Thin and Light,No,Mainstream,2 x USB 3.1 Gen 1 Type-A (one Always On),Business,1 x HDMI 1.4,,720p,3.63 lbs.,Yes,
